KFS-SAI-ZEROBTA,UAF-PREPAID-ASM-CHKEMPTY
KFS-SAI-HOCHKE,UAF-PREPAID-DLV-HCMOFFRPT
KFS-SHP-SHIPA,UAF-ARCHV-EXE-SHIPPING
KFS-SHP-DAILYRE,UAF-PDPRPT-DLV-DAILYRPT
KFS-SHP-SHIPCF,UAF-SHIP-TRF-FEDEX-WAIT
KFS-SHP-REMITE,UAF-SHIP-DLV-REMITLIST
KFS-SHP-SHIPA,UAF-ARCHV-EXE-SHIPPING
KFS-SHP-DAILYRE,UAF-PDPRPT-DLV-DAILYRPT
KFS-SHP-REMITE,UAF-SHIP-DLV-REMITLIST
KFS-SUP-PAYMTSA,UAF-ARCHV-EXE-PDPPAYMT
KFS-TXE-331E,UAF-TAXEXTR-DLV-PARME
KFS-WFL-INGXMLA,UAF-ARCHV-EXE-WORKFLOW
